MIF,MIF
CCNC,CDK3
LHX3,CDK3
LHX4,CDK3
PAX6,CDK3
CKS1B,CDK3
CCNH,CDK3
PAX5,CDK3
MEOX2,CDK3
NPPA,MAGEA12
C16orf87,MAGEA12
CLIP4,MAGEA12
HELT,MAGEA12
POLL,MAGEA12
FNDC11,MAGEA12
POU6F2,MAGEA12
TCP11L1,MAGEA12
WDYHV1,MAGEA12
S100Z,S100A10
S100A3,S100A10
ZGPAT,S100A10
USP2,S100A10
MLKL,S100A10
S100A6,FAM25C
GPD1,FAM25C
ZFAND3,FAM25C
COX16,FAM25C
TDRKH,FAM25C
IGLL1,FAM25C
TOMM20L,FAM25C
PPIC,FAM25C
ARMCX3,FAM25C
LCN2,FAM25C
ARMC10,FAM25C
KLHL35,FAM25C
TTPA,FAM25C
LCN1,FAM25C
MIEF1,FAM25C
PPIF,FAM25C
MIEF2,FAM25C
SNX1,FAM25C
RTL8A,PEG10
RTL8C,PEG10
RTL8B,PEG10
LDOC1,PEG10
EXOSC5,PEG10
RAB3IP,PEG10
DNER,PDLIM7
RASGEF1B,PDLIM7
NUDT10,PDLIM7
HSPB7,PDLIM7
TCF19,PDLIM7
RPP25,PDLIM7
FAM71C,PDLIM7
OTUD6A,PDLIM7
TSG101,PDLIM7
FRS3,PDLIM7
HEY2,PDLIM7
GEM,PDLIM7
DDX6,PDLIM7
PLEKHN1,PDLIM7
TSGA10IP,PDLIM7
SCNM1,PDLIM7
IL16,PDLIM7
ENKD1,PDLIM7
BAG3,PDLIM7
GPATCH2L,PDLIM7
HSF2BP,PDLIM7
SLAIN1,PDLIM7
ABI2,PDLIM7
FAM214B,PDLIM7
PARVG,PDLIM7
CATSPER1,PDLIM7
HNRNPF,PDLIM7
FAM90A1,PDLIM7
PIN1,PDLIM7
TNPO2,PDLIM7
C9orf153,CFAP206
TADA2B,CFAP206
CDX2,CFAP206
MIF4GD,CFAP206
CFP,CFAP206
UBXN11,CFAP206
CPSF7,CFAP206
KRT76,CFAP206
CRX,CFAP206
TASOR2,CFAP206
ANKRD55,CFAP206
PRDM16,CFAP206
TRIM54,CFAP206
EIF4ENIF1,CFAP206
MAGED1,CFAP206
KIAA1328,CFAP206
KRT75,CFAP206
ZNF511,CFAP206
PSMC5,CFAP206
CCDC36,CFAP206
SAXO1,CFAP206
HOMEZ,CFAP206
PSMA1,CFAP206
NME4,CFAP206
ADAMTSL4,CFAP206
VPS52,CFAP206
REL,CFAP206
IKZF3,CFAP206
DISC1,CFAP206
TEKT1,CFAP206
BLZF1,CFAP206
GPRASP2,CFAP206
TRIM27,CFAP206
KRT34,CFAP206
SORBS3,CFAP206
KRT40,CFAP206
CCDC33,CFAP206
KRTAP26-1,CFAP206
CYSRT1,CFAP206
PIH1D2,CFAP206
BANP,CFAP206
MEOX2,CFAP206
AMTN,BAG6
DMKN,BAG6
APBB1IP,BAG6
UBL4B,BAG6
EFEMP2,BAG6
PRKAR1B,BAG6
KLHL12,BAG6
UBQLN1,BAG6
GOLGA6L9,BAG6
SGTA,BAG6
CTAG1B,BAG6
CYSRT1,BAG6
UBQLN2,BAG6
CCK,UBQLN2
TNFRSF18,UBQLN2
NPBWR1,UBQLN2
WFDC10B,UBQLN2
AMBN,UBQLN2
SLITRK1,UBQLN2
C8G,UBQLN2
CTDNEP1,UBQLN2
FKBP2,UBQLN2
C1QA,UBQLN2
C1QB,UBQLN2
KISS1,UBQLN2
PARM1,UBQLN2
FDCSP,UBQLN2
SRP68,UBQLN2
MBL2,UBQLN2
DEFA6,UBQLN2
AZGP1,UBQLN2
NPPA,UBQLN2
TFF3,UBQLN2
C1QC,UBQLN2
FGF17,UBQLN2
ZFAND2B,UBQLN2
GHRL,UBQLN2
ADAMTS3,UBQLN2
TMEM123,UBQLN2
HSD17B12,UBQLN2
OR7D4,UBQLN2
NOL3,UBQLN2
